450000  广西壮族自治区	1
450205001000	解放街道	4
450205002000	雅儒街道	4
450205003000	胜利街道	4
450205004000	雀儿山街道	4
450205005000	钢城街道	4
450205006000	锦绣街道	4
450205007000	白露街道	4
450205008000	跃进街道	4
450205009000	柳长街道	4
450205100000	石碑坪镇	4
450205101000	沙塘镇	4
450205102000	长塘镇	4
450206000000	柳江区	3
450206100000	拉堡镇	4
450206102000	百朋镇	4
450206103000	成团镇	4
450206106000	三都镇	4
450206107000	里高镇	4
450206108000	进德镇	4
450206109000	穿山镇	4
450206110000	土博镇	4
450222000000	柳城县	3
450222100000	大埔镇	4
450222101000	龙头镇	4
450222102000	太平镇	4
450222103000	沙埔镇	4
450222104000	东泉镇	4
450222105000	凤山镇	4
450222106000	六塘镇	4
450222107000	冲脉镇	4
450222108000	寨隆镇	4
450222109000	马山镇	4
450222200000	古砦仫佬族乡	4
450222202000	社冲乡	4
450223000000	鹿寨县	3
450223100000	鹿寨镇	4
450223102000	中渡镇	4
450223103000	寨沙镇	4
450223104000	平山镇	4
450223105000	黄冕镇	4
450223106000	四排镇	4
450223201000	江口乡	4
450223202000	导江乡	4
450223203000	拉沟乡	4
450224000000	融安县	3
450224100000	长安镇	4
450224101000	浮石镇	4
450224102000	泗顶镇	4
450224103000	板榄镇	4
450224104000	大将镇	4
450224105000	大良镇	4
450224200000	雅瑶乡	4
450224201000	大坡乡	4
450224202000	东起乡	4
450224203000	沙子乡	4
450224204000	桥板乡	4
450224205000	潭头乡	4
450225000000	融水苗族自治县	3
450225100000	融水镇	4
450225101000	和睦镇	4
450225102000	三防镇	4
450225103000	怀宝镇	4
450225104000	洞头镇	4
450225105000	大浪镇	4
450225106000	永乐镇	4
450225201000	四荣乡	4
450225202000	香粉乡	4
450225203000	安太乡	4
450225205000	汪洞乡	4
450225206000	同练瑶族乡	4
450225207000	滚贝侗族乡	4
450225208000	杆洞乡	4
450225209000	安陲乡	4
450225211000	白云乡	4
450225212000	红水乡	4
450225213000	拱洞乡	4
450225214000	良寨乡	4
450225215000	大年乡	4
450226000000	三江侗族自治县	3
450226100000	古宜镇	4
450226101000	斗江镇	4
450226102000	丹洲镇	4
450226103000	八江镇	4
450226104000	林溪镇	4
450226105000	独峒镇	4
450226203000	同乐苗族乡	4
450226204000	梅林乡	4
450226205000	富禄苗族乡	4
450226206000	洋溪乡	4
450226207000	良口乡	4
450226208000	老堡乡	4
450226209000	高基瑶族乡	4
450226210000	和平乡	4
450226211000	程村乡	4
450300000000	桂林市	2
450301000000	市辖区	3
450302000000	秀峰区	3
450302001000	秀峰街道	4
450302002000	丽君街道	4
450302003000	甲山街道	4
450303000000	叠彩区	3
450303001000	叠彩街道	4
450303002000	北门街道	4
450303200000	大河乡	4
450304000000	象山区	3
450304001000	南门街道	4
450304002000	象山街道	4
450304003000	平山街道	4
450304200000	二塘乡	4
450305000000	七星区	3
450305001000	七星区街道	4
450305002000	东江街道	4
450305003000	穿山街道	4
450305004000	漓东街道	4
450305200000	朝阳乡	4
450305400000	桂林华侨旅游经济区管理委员会	4
450311000000	雁山区	3
450311001000	良丰街道	4
450311100000	雁山镇	4
450311101000	柘木镇	4
450311200000	大埠乡	4
450311201000	草坪回族乡	4
450312000000	临桂区	3
450312100000	临桂镇	4
450312101000	六塘镇	4
450312102000	会仙镇	4
450312103000	两江镇	4
450312104000	五通镇	4
450312105000	四塘镇	4
450312106000	南边山镇	4
450312107000	中庸镇	4
450312108000	茶洞镇	4
450312204000	宛田瑶族乡	4
450312205000	黄沙瑶族乡	4
450321000000	阳朔县	3
450321100000	阳朔镇	4
450321101000	白沙镇	4
450321102000	福利镇	4
450321103000	兴坪镇	4
450321104000	葡萄镇	4
450321105000	高田镇	4
450321200000	金宝乡	4
450321201000	普益乡	4
450321202000	杨堤乡	4
450323000000	灵川县	3
450323100000	灵川镇	4
450323101000	大圩镇	4
450323102000	定江镇	4
450323103000	三街镇	4
450323104000	潭下镇	4
450323106000	九屋镇	4
450323107000	灵田镇	4
450323200000	潮田乡	4
450323201000	大境瑶族乡	4
450323202000	海洋乡	4
450323206000	兰田瑶族乡	4
450323207000	公平乡	4
450324000000	全州县	3
450324100000	全州镇	4
450324101000	黄沙河镇	4
450324102000	庙头镇	4
450324103000	文桥镇	4
450324104000	大西江镇	4
450324105000	龙水镇	4
450324106000	才湾镇	4
450324107000	绍水镇	4
450324108000	石塘镇	4
450324109000	咸水镇	4
450324110000	凤凰镇	4
450324111000	安和镇	4
450324112000	两河镇	4
450324113000	枧塘镇	4
450324114000	永岁镇	4
450324204000	蕉江瑶族乡	4
450324207000	白宝乡	4
450324208000	东山瑶族乡	4
450325000000	兴安县	3
450325100000	兴安镇	4
450325101000	湘漓镇	4
450325102000	界首镇	4
450325103000	高尚镇	4
450325104000	严关镇	4
450325105000	溶江镇	4
450325200000	漠川乡	4
450325201000	白石乡	4
450325202000	崔家乡	4
450325203000	华江瑶族乡	4
450326000000	永福县	3
450326100000	永福镇	4
450326101000	罗锦镇	4
450326102000	百寿镇	4
450326103000	苏桥镇	4
450326104000	三皇镇	4
450326105000	堡里镇	4
450326202000	广福乡	4
450326204000	永安乡	4
450326205000	龙江乡	4
450327000000	灌阳县	3
450327100000	灌阳镇	4
450327101000	黄关镇	4
450327102000	文市镇	4
450327103000	新街镇	4
450327104000	新圩镇	4
450327105000	水车镇	4
450327200000	洞井瑶族乡	4
450327201000	观音阁乡	4
450327202000	西山瑶族乡	4
450328000000	龙胜各族自治县	3
450328100000	龙胜镇	4
450328101000	瓢里镇	4
450328102000	三门镇	4
450328103000	龙脊镇	4
450328104000	平等镇	4
450328105000	乐江镇	4
450328201000	泗水乡	4
450328202000	江底乡	4
450328203000	马堤乡	4
450328204000	伟江乡	4
450329000000	资源县	3
450329100000	资源镇	4
450329101000	中峰镇	4
450329102000	梅溪镇	4
450329202000	瓜里乡	4
450329203000	车田苗族乡	4
450329204000	两水苗族乡	4
450329205000	河口瑶族乡	4
450330000000	平乐县	3
450330100000	平乐镇	4
450330101000	二塘镇	4
450330102000	沙子镇	4
450330103000	同安镇	4
450330104000	张家镇	4
450330105000	源头镇	4
450330200000	阳安乡	4
450330201000	青龙乡	4
450330202000	桥亭乡	4
450330203000	大发瑶族乡	4
450332000000	恭城瑶族自治县	3
450332100000	恭城镇	4
450332101000	栗木镇	4
450332102000	莲花镇	4
450332103000	嘉会镇	4
450332104000	西岭镇	4
450332105000	平安镇	4
450332201000	三江乡	4
450332204000	观音乡	4
450332205000	龙虎乡	4
450381000000	荔浦市	3
450381100000	荔城镇	4
450381101000	东昌镇	4
450381102000	新坪镇	4
450381103000	杜莫镇	4
450381104000	青山镇	4
450381105000	修仁镇	4
450381106000	大塘镇	4
450381107000	花箦镇	4
450381108000	双江镇	4
450381109000	马岭镇	4
450381200000	龙怀乡	4
450381201000	茶城乡	4
450381202000	蒲芦瑶族乡	4
450400000000	梧州市	2
450401000000	市辖区	3
450403000000	万秀区	3
450403005000	角嘴街道	4
450403006000	东兴街道	4
450403007000	富民街道	4
450403008000	城南街道	4
450403009000	城北街道	4
450403101000	城东镇	4
450403103000	龙湖镇	4
450403104000	夏郢镇	4
450405000000	长洲区	3
450405001000	大塘街道	4
450405002000	兴龙街道	4
450405003000	红岭街道	4
450405101000	长洲镇	4
450405102000	倒水镇	4
450406000000	龙圩区	3
450406100000	龙圩镇	4
450406101000	大坡镇	4
450406102000	广平镇	4
450406103000	新地镇	4
450421000000	苍梧县	3
450421100000	石桥镇	4
450421101000	沙头镇	4
450421102000	梨埠镇	4
450421105000	岭脚镇	4
450421108000	京南镇	4
450421109000	狮寨镇	4
450421110000	旺甫镇	4
450421112000	六堡镇	4
450421114000	木双镇	4
450422000000	藤县	3
450422100000	藤州镇	4
450422103000	塘步镇	4
450422104000	埌南镇	4
450422105000	同心镇	4
450422106000	金鸡镇	4
450422107000	新庆镇	4
450422108000	象棋镇	4
450422109000	岭景镇	4
450422110000	天平镇	4
450422111000	蒙江镇	4
450422112000	和平镇	4
450422113000	太平镇	4
450422114000	古龙镇	4
450422115000	东荣镇	4
450422116000	大黎镇	4
450422200000	平福乡	4
450422201000	宁康乡	4
450423000000	蒙山县	3
450423100000	蒙山镇	4
450423101000	西河镇	4
450423102000	新圩镇	4
450423103000	文圩镇	4
450423104000	黄村镇	4
450423105000	陈塘镇	4
450423200000	汉豪乡	4
450423201000	长坪瑶族乡	4
450423202000	夏宜瑶族乡	4
450481000000	岑溪市	3
450481100000	岑城镇	4
450481102000	马路镇	4
450481103000	南渡镇	4
450481105000	水汶镇	4
450481106000	大隆镇	4
450481107000	梨木镇	4
450481108000	大业镇	4
450481109000	筋竹镇	4
450481110000	诚谏镇	4
450481111000	归义镇	4
450481112000	糯垌镇	4
450481113000	安平镇	4
450481114000	三堡镇	4
450481115000	波塘镇	4
450500000000	北海市	2
450501000000	市辖区	3
450502000000	海城区	3
450502001000	中街街道	4
450502002000	东街街道	4
450502003000	西街街道	4
450502004000	海角街道	4
450502005000	地角街道	4
450502006000	高德街道	4
450502007000	驿马街道	4
450502100000	涠洲镇	4
450503000000	银海区	3
450503100000	福成镇	4
450503101000	银滩镇	4
450503102000	平阳镇	4
450503103000	侨港镇	4
450512000000	铁山港区	3
450512100000	南康镇	4
450512101000	营盘镇	4
450512102000	兴港镇	4
450521000000	合浦县	3
450521100000	廉州镇	4
450521101000	党江镇	4
450521102000	西场镇	4
450521103000	沙岗镇	4
450521104000	乌家镇	4
450521105000	闸口镇	4
450521106000	公馆镇	4
450521107000	白沙镇	4
450521108000	山口镇	4
450521109000	沙田镇	4
450521110000	石湾镇	4
450521111000	石康镇	4
450521112000	常乐镇	4
450521113000	星岛湖镇	4
450521200000	曲樟乡	4
450600000000	防城港市	2
450601000000	市辖区	3
450602000000	港口区	3
450602001000	渔州坪街道	4
450602002000	白沙万街道	4
450602003000	沙潭江街道	4
450602004000	王府街道	4
450602100000	企沙镇	4
450602101000	光坡镇	4
450603000000	防城区	3
450603001000	水营街道	4
450603002000	珠河街道	4
450603003000	文昌街道	4
450603101000	大菉镇	4
450603102000	华石镇	4
450603103000	那梭镇	4
450603104000	那良镇	4
450603105000	峒中镇	4
450603106000	江山镇	4
450603107000	茅岭镇	4
450603108000	扶隆镇	4
450603203000	滩营乡	4
450603209000	十万山瑶族乡	4
450603450000	小峰经济作物场	4
450621000000	上思县	3
450621100000	思阳镇	4
450621101000	在妙镇	4
450621102000	华兰镇	4
450621103000	叫安镇	4
450621203000	南屏瑶族乡	4
450621204000	平福乡	4
450621205000	那琴乡	4
450621206000	公正乡	4
450681000000	东兴市	3
450681100000	东兴镇	4
450681101000	江平镇	4
450681102000	马路镇	4
450700000000	钦州市	2
450701000000	市辖区	3
450702000000	钦南区	3
450702001000	向阳街道	4
450702002000	水东街道	4
450702003000	文峰街道	4
450702004000	南珠街道	4
450702005000	尖山街道	4
450702100000	沙埠镇	4
450702101000	康熙岭镇	4
450702102000	黄屋屯镇	4
450702104000	大番坡镇	4
450702105000	龙门港镇	4
450702107000	久隆镇	4
450702108000	东场镇	4
450702109000	那丽镇	4
450702110000	那彭镇	4
450702111000	那思镇	4
450702112000	犀牛脚镇	4
450702400000	丽光华侨农场	4
450702401000	钦州港经济技术开发区	4
450702402000	三娘湾旅游管理区	4
450702403000	广西钦州保税港区	4
450702404000	中马钦州产业园区	4
450703000000	钦北区	3
450703001000	长田街道	4
450703002000	鸿亭街道	4
450703003000	子材街道	4
450703100000	大垌镇	4
450703101000	平吉镇	4
450703102000	青塘镇	4
450703103000	小董镇	4
450703104000	板城镇	4
450703105000	那蒙镇	4
450703106000	长滩镇	4
450703107000	新棠镇	4
450703108000	大直镇	4
450703109000	大寺镇	4
450703110000	贵台镇	4
450721000000	灵山县	3
450721001000	灵城街道	4
450721002000	三海街道	4
450721101000	新圩镇	4
450721102000	丰塘镇	4
450721103000	平山镇	4
450721104000	石塘镇	4
450721105000	佛子镇	4
450721106000	平南镇	4
450721107000	烟墩镇	4
450721108000	檀圩镇	4
450721109000	那隆镇	4
450721110000	三隆镇	4
450721111000	陆屋镇	4
450721112000	旧州镇	4
450721113000	太平镇	4
450721114000	沙坪镇	4
450721115000	武利镇	4
450721116000	文利镇	4
450721117000	伯劳镇	4
450722000000	浦北县	3
450722001000	小江街道	4
450722002000	江城街道	4
450722101000	泉水镇	4
450722102000	石埇镇	4
450722103000	安石镇	4
450722104000	张黄镇	4
450722105000	大成镇	4
450722106000	白石水镇	4
450722107000	北通镇	4
450722108000	三合镇	4
450722109000	龙门镇	4
450722110000	福旺镇	4
450722111000	寨圩镇	4
450722112000	乐民镇	4
450722113000	六硍镇	4
450722114000	平睦镇	4
450722115000	官垌镇	4
450800000000	贵港市	2
450801000000	市辖区	3
450802000000	港北区	3
450802001000	贵城街道	4
450802002000	港城街道	4
450802101000	大圩镇	4
450802102000	庆丰镇	4
450802103000	根竹镇	4
450802104000	武乐镇	4
450802200000	奇石乡	4
450802201000	中里乡	4
450803000000	港南区	3
450803001000	江南街道	4
450803002000	八塘街道	4
450803100000	桥圩镇	4
450803101000	木格镇	4
450803102000	木梓镇	4
450803103000	湛江镇	4
450803104000	东津镇	4
450803106000	新塘镇	4
450803107000	瓦塘镇	4
450804000000	覃塘区	3
450804001000	覃塘街道	4
450804101000	东龙镇	4
450804102000	三里镇	4
450804103000	黄练镇	4
450804104000	石卡镇	4
450804105000	五里镇	4
450804106000	樟木镇	4
450804107000	蒙公镇	4
450804200000	山北乡	4
450804204000	大岭乡	4
450821000000	平南县	3
450821001000	平南街道	4
450821002000	上渡街道	4
450821101000	平山镇	4
450821102000	寺面镇	4
450821103000	六陈镇	4
450821104000	大新镇	4
450821105000	大安镇	4
450821106000	武林镇	4
450821107000	大坡镇	4
450821108000	大洲镇	4
450821109000	镇隆镇	4
450821112000	安怀镇	4
450821113000	丹竹镇	4
450821114000	官成镇	4
450821115000	思旺镇	4
450821116000	大鹏镇	4
450821117000	同和镇	4
450821118000	东华镇	4
450821204000	思界乡	4
450821205000	国安瑶族乡	4
450821206000	马练瑶族乡	4
450881000000	桂平市	3
450881101000	木乐镇	4
450881102000	木圭镇	4
450881103000	石咀镇	4
450881104000	油麻镇	4
450881105000	社坡镇	4
450881106000	罗秀镇	4
450881107000	麻垌镇	4
450881108000	社步镇	4
450881109000	下湾镇	4
450881110000	木根镇	4
450881111000	中沙镇	4
450881113000	大洋镇	4
450881114000	大湾镇	4
450881115000	白沙镇	4
450881116000	石龙镇	4
450881117000	蒙圩镇	4
450881118000	西山镇	4
450881119000	南木镇	4
450881120000	江口镇	4
450881121000	金田镇	4
450881122000	紫荆镇	4
450881200000	马皮乡	4
450881202000	寻旺乡	4
450881203000	罗播乡	4
450881204000	厚禄乡	4
450881206000	垌心乡	4
450900000000	玉林市	2
450901000000	市辖区	3
450902000000	玉州区	3
450902001000	玉城街道	4
450902002000	南江街道	4
450902003000	城西街道	4
450902004000	城北街道	4
450902005000	名山街道	4
450902100000	大塘镇	4
450902105000	茂林镇	4
450902106000	仁东镇	4
450902113000	仁厚镇	4
450903000000	福绵区	3
450903107000	福绵镇	4
450903108000	成均镇	4
450903109000	樟木镇	4
450903110000	新桥镇	4
450903111000	沙田镇	4
450903112000	石和镇	4
450921000000	容县	3
450921100000	容州镇	4
450921102000	杨梅镇	4
450921103000	灵山镇	4
450921104000	六王镇	4
450921105000	黎村镇	4
450921106000	杨村镇	4
450921107000	县底镇	4
450921108000	自良镇	4
450921109000	松山镇	4
450921110000	罗江镇	4
450921111000	石头镇	4
450921112000	石寨镇	4
450921113000	十里镇	4
450921114000	容西镇	4
450921115000	浪水镇	4
450922000000	陆川县	3
450922101000	温泉镇	4
450922102000	米场镇	4
450922103000	马坡镇	4
450922104000	珊罗镇	4
450922105000	平乐镇	4
450922106000	沙坡镇	4
450922107000	大桥镇	4
450922108000	乌石镇	4
450922109000	良田镇	4
450922110000	清湖镇	4
450922111000	古城镇	4
450922112000	沙湖镇	4
450922113000	横山镇	4
450922114000	滩面镇	4
450923000000	博白县	3
450923100000	博白镇	4
450923102000	双凤镇	4
450923105000	顿谷镇	4
450923106000	水鸣镇	4
450923107000	那林镇	4
450923108000	江宁镇	4
450923109000	三滩镇	4
450923110000	黄凌镇	4
450923111000	亚山镇	4
450923112000	旺茂镇	4
450923114000	东平镇	4
450923115000	沙河镇	4
450923116000	菱角镇	4
450923117000	新田镇	4
450923118000	凤山镇	4
450923119000	宁潭镇	4
450923120000	文地镇	4
450923121000	英桥镇	4
450923122000	那卜镇	4
450923123000	大垌镇	4
450923124000	沙陂镇	4
450923125000	双旺镇	4
450923126000	松旺镇	4
450923127000	龙潭镇	4
450923128000	大坝镇	4
450923129000	永安镇	4
450923130000	径口镇	4
450923131000	浪平镇	4
450924000000	兴业县	3
450924100000	石南镇	4
450924101000	大平山镇	4
450924102000	葵阳镇	4
450924103000	城隍镇	4
450924104000	山心镇	4
450924105000	沙塘镇	4
450924106000	蒲塘镇	4
450924107000	北市镇	4
450924108000	龙安镇	4
450924109000	高峰镇	4
450924110000	小平山镇	4
450924111000	卖酒镇	4
450924112000	洛阳镇	4
450981000000	北流市	3
450981001000	陵城街道	4
450981002000	城南街道	4
450981003000	城北街道	4
450981100000	北流镇	4
450981101000	新荣镇	4
450981102000	民安镇	4
450981103000	山围镇	4
450981104000	民乐镇	4
450981105000	西埌镇	4
450981106000	新圩镇	4
450981107000	大里镇	4
450981108000	塘岸镇	4
450981109000	清水口镇	4
450981110000	隆盛镇	4
450981111000	大坡外镇	4
450981112000	六麻镇	4
450981113000	新丰镇	4
450981114000	沙垌镇	4
450981115000	平政镇	4
450981116000	白马镇	4
450981117000	大伦镇	4
450981118000	扶新镇	4
450981119000	六靖镇	4
450981120000	石窝镇	4
450981121000	清湾镇	4
451000000000	百色市	2
451001000000	市辖区	3
451002000000	右江区	3
451002001000	百城街道	4
451002002000	龙景街道	4
451002101000	阳圩镇	4
451002102000	四塘镇	4
451002103000	龙川镇	4
451002104000	永乐镇	4
451002202000	汪甸瑶族乡	4
451002203000	大楞乡	4
451002204000	泮水乡	4
451003000000	田阳区	3
451003100000	田州镇	4
451003101000	那坡镇	4
451003102000	坡洪镇	4
451003103000	那满镇	4
451003104000	百育镇	4
451003105000	玉凤镇	4
451003106000	头塘镇	4
451003107000	五村镇	4
451003108000	洞靖镇	4
451003204000	巴别乡	4
451022000000	田东县	3
451022100000	平马镇	4
451022101000	祥周镇	4
451022103000	林逢镇	4
451022105000	思林镇	4
451022106000	印茶镇	4
451022107000	江城镇	4
451022108000	朔良镇	4
451022109000	义圩镇	4
451022110000	那拔镇	4
451022201000	作登瑶族乡	4
451023000000	平果县	3
451023100000	马头镇	4
451023101000	新安镇	4
451023102000	果化镇	4
451023103000	太平镇	4
451023104000	坡造镇	4
451023105000	四塘镇	4
451023106000	旧城镇	4
451023107000	榜圩镇	4
451023108000	凤梧镇	4
451023200000	海城乡	4
451023202000	黎明乡	4
451023203000	同老乡	4
451023450000	平果铝	4
451024000000	德保县	3
451024100000	城关镇	4
451024101000	足荣镇	4
451024102000	隆桑镇	4
451024103000	敬德镇	4
451024104000	马隘镇	4
451024105000	东凌镇	4
451024106000	那甲镇	4
451024200000	都安乡	4
451024203000	荣华乡	4
451024204000	燕峒乡	4
451024205000	龙光乡	4
451024206000	巴头乡	4
451024450000	德保铝业	4
451026000000	那坡县	3
451026100000	城厢镇	4
451026101000	平孟镇	4
451026102000	龙合镇	4
451026200000	坡荷乡	4
451026203000	德隆乡	4
451026204000	百合乡	4
451026205000	百南乡	4
451026207000	百省乡	4
451026208000	百都乡	4
451027000000	凌云县	3
451027100000	泗城镇	4
451027101000	逻楼镇	4
451027102000	加尤镇	4
451027103000	下甲镇	4
451027201000	伶站瑶族乡	4
451027202000	朝里瑶族乡	4
451027203000	沙里瑶族乡	4
451027205000	玉洪瑶族乡	4
451028000000	乐业县	3
451028100000	同乐镇	4
451028101000	甘田镇	4
451028102000	新化镇	4
451028103000	花坪镇	4
451028201000	逻沙乡	4
451028203000	逻西乡	4
451028204000	幼平乡	4
451028205000	雅长乡	4
451029000000	田林县	3
451029100000	乐里镇	4
451029101000	旧州镇	4
451029102000	定安镇	4
451029103000	六隆镇	4
451029104000	浪平镇	4
451029200000	潞城瑶族乡	4
451029201000	利周瑶族乡	4
451029202000	平塘乡	4
451029204000	八桂瑶族乡	4
451029205000	八渡瑶族乡	4
451029206000	那比乡	4
451029207000	高龙乡	4
451029208000	百乐乡	4
451029209000	者苗乡	4
451030000000	西林县	3
451030100000	八达镇	4
451030101000	古障镇	4
451030102000	那劳镇	4
451030103000	马蚌镇	4
451030203000	普合苗族乡	4
451030204000	西平乡	4
451030206000	那佐苗族乡	4
451030208000	足别瑶族苗族乡	4
451031000000	隆林各族自治县	3
451031100000	新州镇	4
451031101000	桠杈镇	4
451031102000	天生桥镇	4
451031103000	平班镇	4
451031104000	德峨镇	4
451031105000	隆或镇	4
451031200000	沙梨乡	4
451031203000	者保乡	4
451031204000	者浪乡	4
451031205000	革步乡	4
451031206000	金钟山乡	4
451031208000	猪场乡	4
451031210000	蛇场乡	4
451031211000	克长乡	4
451031213000	岩茶乡	4
451031215000	介廷乡	4
451081000000	靖西市	3
451081100000	新靖镇	4
451081101000	化峒镇	4
451081102000	湖润镇	4
451081103000	安德镇	4
451081104000	龙临镇	4
451081105000	渠洋镇	4
451081106000	岳圩镇	4
451081107000	龙邦镇	4
451081108000	禄峒镇	4
451081109000	武平镇	4
451081110000	地州镇	4
451081200000	同德乡	4
451081201000	壬庄乡	4
451081202000	安宁乡	4
451081206000	南坡乡	4
451081207000	吞盘乡	4
451081209000	果乐乡	4
451081211000	新甲乡	4
451081215000	魁圩乡	4
451100000000	贺州市	2
451101000000	市辖区	3
451102000000	八步区	3
451102001000	八步街道	4
451102002000	城东街道	4
451102003000	江南街道	4
451102101000	贺街镇	4
451102102000	步头镇	4
451102103000	莲塘镇	4
451102104000	大宁镇	4
451102105000	南乡镇	4
451102106000	桂岭镇	4
451102107000	开山镇	4
451102109000	里松镇	4
451102114000	信都镇	4
451102115000	灵峰镇	4
451102116000	仁义镇	4
451102117000	铺门镇	4
451102200000	黄洞瑶族乡	4
451103000000	平桂区	3
451103001000	西湾街道	4
451103101000	黄田镇	4
451103102000	鹅塘镇	4
451103103000	沙田镇	4
451103104000	公会镇	4
451103105000	水口镇	4
451103106000	望高镇	4
451103107000	羊头镇	4
451103201000	大平瑶族乡	4
451121000000	昭平县	3
451121100000	昭平镇	4
451121101000	文竹镇	4
451121102000	黄姚镇	4
451121103000	富罗镇	4
451121104000	北陀镇	4
451121105000	马江镇	4
451121107000	五将镇	4
451121108000	走马镇	4
451121109000	樟木林镇	4
451121201000	仙回瑶族乡	4
451121206000	凤凰乡	4
451121208000	木格乡	4
451122000000	钟山县	3
451122100000	钟山镇	4
451122104000	回龙镇	4
451122105000	石龙镇	4
451122106000	凤翔镇	4
451122107000	珊瑚镇	4
451122108000	同古镇	4
451122109000	公安镇	4
451122111000	清塘镇	4
451122112000	燕塘镇	4
451122113000	红花镇	4
451122200000	花山瑶族乡	4
451122201000	两安瑶族乡	4
