420000  湖北省	1
420115401000	武汉江夏经济开发区庙山高新技术产业园	4
420115402000	武汉江夏经济开发区藏龙岛高新技术产业园	4
420115403000	武汉江夏经济开发区大桥现代产业园	4
420115404000	江夏区经济开发区梁子湖风景区	4
420115405000	武汉江夏经济开发区金港汽车产业园	4
420116000000	黄陂区	3
420116001000	前川街道	4
420116002000	祁家湾街道	4
420116003000	横店街道	4
420116004000	罗汉寺街道	4
420116005000	滠口街道	4
420116006000	六指街道	4
420116007000	天河街道	4
420116008000	王家河街道	4
420116009000	长轩岭街道	4
420116010000	李集街道	4
420116011000	姚集街道	4
420116012000	蔡榨街道	4
420116013000	武湖街道	4
420116014000	三里桥街道	4
420116015000	蔡店街道	4
420116201000	木兰乡	4
420116401000	木兰山风景区管理处	4
420116402000	大潭办事处	4
420116403000	盘龙城经济开发区	4
420116404000	汉口北商贸物流枢纽区管委会	4
420117000000	新洲区	3
420117001000	邾城街道	4
420117002000	阳逻街道	4
420117003000	仓埠街道	4
420117004000	汪集街道	4
420117005000	李集街道	4
420117006000	三店街道	4
420117007000	潘塘街道	4
420117008000	旧街街道	4
420117009000	双柳街道	4
420117010000	涨渡湖街道	4
420117011000	辛冲街道	4
420117012000	徐古街道	4
420117102000	凤凰镇	4
420117400000	道观河风景旅游管理处	4
420117406000	新洲原种场	4
420200000000	黄石市	2
420201000000	市辖区	3
420202000000	黄石港区	3
420202005000	沈家营街道	4
420202006000	黄石港街道	4
420202007000	胜阳港街道	4
420202070000	花湖街道	4
420202400000	江北管理区	4
420203000000	西塞山区	3
420203007000	章山街道	4
420203008000	八泉街道	4
420203009000	澄月街道	4
420203010000	牧羊湖街道	4
420203011000	黄思湾街道	4
420203400000	冶钢农场	4
420203402000	西塞山工业园区管委会	4
420204000000	下陆区	3
420204004000	团城山街道	4
420204005000	新下陆街道	4
420204006000	老下陆街道	4
420204007000	东方山街道	4
420204401000	长乐山工业园管理委员会	4
420205000000	铁山区	3
420205003000	铁山街道	4
420222000000	阳新县	3
420222100000	兴国镇	4
420222101000	富池镇	4
420222102000	黄颡口镇	4
420222103000	韦源口镇	4
420222104000	太子镇	4
420222105000	大王镇	4
420222106000	陶港镇	4
420222107000	白沙镇	4
420222108000	浮屠镇	4
420222109000	三溪镇	4
420222110000	龙港镇	4
420222111000	洋港镇	4
420222112000	排市镇	4
420222113000	木港镇	4
420222114000	枫林镇	4
420222115000	王英镇	4
420222451000	率洲农场	4
420222452000	半壁山农场	4
420222453000	荆头山农场	4
420222455000	金海开发区	4
420222456000	城东新区	4
420281000000	大冶市	3
420281001000	东岳路街道	4
420281002000	东风路街道	4
420281003000	金湖街道	4
420281004000	罗家桥街道	4
420281070000	金山街道	4
420281100000	金牛镇	4
420281101000	保安镇	4
420281102000	灵乡镇	4
420281103000	金山店镇	4
420281104000	还地桥镇	4
420281105000	殷祖镇	4
420281107000	刘仁八镇	4
420281108000	陈贵镇	4
420281109000	大箕铺镇	4
420281170000	汪仁镇	4
420281200000	茗山乡	4
420281401000	东风农场管理区	4
420281402000	四顾闸管理处	4
420300000000	十堰市	2
420301000000	市辖区	3
420302000000	茅箭区	3
420302001000	武当路街道	4
420302002000	二堰街道	4
420302003000	五堰街道	4
420302004000	白浪开发区白浪街道	4
420302100000	大川镇	4
420302201000	茅塔乡	4
420302202000	鸳鸯乡	4
420303000000	张湾区	3
420303001000	花果街道	4
420303002000	红卫街道	4
420303003000	车城路街道	4
420303004000	汉江路街道	4
420303100000	黄龙镇	4
420303101000	柏林镇	4
420303200000	方滩乡	4
420303201000	西沟乡	4
420303400000	西城开发区	4
420303401000	十堰工业新区	4
420303500000	秦家坪林场	4
420303501000	凤凰山茶场	4
420304000000	郧阳区	3
420304101000	安阳镇	4
420304102000	杨溪铺镇	4
420304103000	青曲镇	4
420304104000	白桑关镇	4
420304105000	南化塘镇	4
420304106000	白浪镇	4
420304107000	刘洞镇	4
420304108000	谭山镇	4
420304109000	梅铺镇	4
420304110000	青山镇	4
420304111000	茶店镇	4
420304112000	柳陂镇	4
420304113000	鲍峡镇	4
420304114000	胡家营镇	4
420304115000	谭家湾镇	4
420304117000	城关镇	4
420304200000	大柳乡	4
420304201000	五峰乡	4
420304202000	叶大乡	4
420304400000	红岩背林场	4
420322000000	郧西县	3
420322100000	城关镇	4
420322101000	土门镇	4
420322102000	上津镇	4
420322103000	店子镇	4
420322104000	夹河镇	4
420322105000	羊尾镇	4
420322106000	观音镇	4
420322107000	马鞍镇	4
420322108000	河夹镇	4
420322200000	香口乡	4
420322201000	关防乡	4
420322202000	湖北口回族乡	4
420322203000	景阳乡	4
420322204000	六郎乡	4
420322205000	涧池乡	4
420322206000	安家乡	4
420322400000	槐树林特场管委会	4
420322401000	三官洞林区	4
420322402000	工业园区	4
420323000000	竹山县	3
420323100000	城关镇	4
420323101000	溢水镇	4
420323102000	麻家渡镇	4
420323103000	宝丰镇	4
420323104000	擂鼓镇	4
420323105000	秦古镇	4
420323106000	得胜镇	4
420323107000	上庸镇	4
420323108000	官渡镇	4
420323200000	潘口乡	4
420323201000	竹坪乡	4
420323202000	大庙乡	4
420323203000	双台乡	4
420323204000	楼台乡	4
420323205000	文峰乡	4
420323206000	深河乡	4
420323207000	柳林乡	4
420324000000	竹溪县	3
420324100000	城关镇	4
420324101000	蒋家堰镇	4
420324102000	中峰镇	4
420324103000	水坪镇	4
420324104000	县河镇	4
420324105000	泉溪镇	4
420324106000	丰溪镇	4
420324107000	龙坝镇	4
420324108000	兵营镇	4
420324109000	汇湾镇	4
420324110000	新洲镇	4
420324203000	鄂坪乡	4
420324205000	天宝乡	4
420324206000	桃源乡	4
420324207000	向坝乡	4
420324500000	龙王垭茶场	4
420324501000	国营竹溪综合农场	4
420324502000	原种场	4
420324503000	渔种场	4
420324504000	种畜场	4
420324505000	王家山茶场	4
420324506000	标湖林场	4
420324507000	双竹林场	4
420325000000	房县	3
420325100000	城关镇	4
420325101000	军店镇	4
420325102000	化龙堰镇	4
420325103000	土城镇	4
420325104000	大木厂镇	4
420325105000	青峰镇	4
420325106000	门古寺镇	4
420325107000	白鹤镇	4
420325108000	野人谷镇	4
420325109000	红塔镇	4
420325110000	窑淮镇	4
420325111000	尹吉甫镇	4
420325203000	姚坪乡	4
420325205000	沙河乡	4
420325206000	万峪河乡	4
420325208000	上龛乡	4
420325209000	中坝乡	4
420325210000	九道乡	4
420325211000	回龙乡	4
420325212000	五台乡	4
420381000000	丹江口市	3
420381001000	均州路办事处街道	4
420381002000	大坝路办事处街道	4
420381003000	丹赵路办事处街道	4
420381005000	三官殿办事处街道	4
420381100000	土关垭镇	4
420381101000	浪河镇	4
420381102000	丁家营镇	4
420381103000	六里坪镇	4
420381104000	盐池河镇	4
420381105000	均县镇	4
420381106000	习家店镇	4
420381107000	蒿坪镇	4
420381108000	石鼓镇	4
420381109000	凉水河镇	4
420381110000	官山镇	4
420381111000	龙山镇	4
420381400000	新港经济开发管理处	4
420381401000	牛河林业开发管理区	4
420381402000	白杨坪林业开发管理区	4
420381403000	大沟林业开发管理区	4
420381450000	武当山特区	4
420500000000	宜昌市	2
420501000000	市辖区	3
420502000000	西陵区	3
420502001000	西陵街道	4
420502002000	学院街道	4
420502003000	云集街道	4
420502004000	西坝街道	4
420502005000	葛洲坝街道	4
420502006000	夜明珠街道	4
420502007000	东苑街道	4
420502008000	南苑街道	4
420502009000	北苑街道	4
420502010000	窑湾街道	4
420503000000	伍家岗区	3
420503001000	大公桥街道	4
420503002000	万寿桥街道	4
420503003000	宝塔河街道	4
420503004000	伍家岗街道	4
420503201000	伍家乡	4
420504000000	点军区	3
420504001000	点军街道	4
420504101000	艾家镇	4
420504102000	桥边镇	4
420504201000	联棚乡	4
420504202000	土城乡	4
420505000000	猇亭区	3
420505001000	古老背街道	4
420505002000	虎牙街道	4
420505003000	云池街道	4
420506000000	夷陵区	3
420506001000	小溪塔街道	4
420506101000	樟村坪镇	4
420506102000	雾渡河镇	4
420506103000	分乡镇	4
420506104000	太平溪镇	4
420506105000	三斗坪镇	4
420506106000	乐天溪镇	4
420506107000	龙泉镇	4
420506108000	鸦鹊岭镇	4
420506109000	黄花镇	4
420506201000	下堡坪乡	4
420506202000	邓村乡	4
420506401000	三峡坝区	4
420506402000	东城城乡统筹发展试验区	4
420525000000	远安县	3
420525101000	鸣凤镇	4
420525102000	花林寺镇	4
420525103000	旧县镇	4
420525104000	洋坪镇	4
420525105000	茅坪场镇	4
420525106000	嫘祖镇	4
420525201000	河口乡	4
420526000000	兴山县	3
420526101000	古夫镇	4
420526102000	昭君镇	4
420526103000	峡口镇	4
420526104000	南阳镇	4
420526105000	黄粮镇	4
420526106000	水月寺镇	4
420526201000	高桥乡	4
420526202000	榛子乡	4
420527000000	秭归县	3
420527101000	茅坪镇	4
420527102000	归州镇	4
420527103000	屈原镇	4
420527104000	沙镇溪镇	4
420527105000	两河口镇	4
420527106000	郭家坝镇	4
420527107000	杨林桥镇	4
420527108000	九畹溪镇	4
420527201000	水田坝乡	4
420527202000	泄滩乡	4
420527203000	梅家河乡	4
420527204000	磨坪乡	4
420528000000	长阳土家族自治县	3
420528101000	龙舟坪镇	4
420528102000	高家堰镇	4
420528103000	磨市镇	4
420528104000	都镇湾镇	4
420528105000	资丘镇	4
420528106000	渔峡口镇	4
420528107000	榔坪镇	4
420528108000	贺家坪镇	4
420528201000	大堰乡	4
420528202000	鸭子口乡	4
420528203000	火烧坪乡	4
420529000000	五峰土家族自治县	3
420529111000	渔洋关镇	4
420529112000	仁和坪镇	4
420529113000	长乐坪镇	4
420529114000	五峰镇	4
420529115000	湾潭镇	4
420529201000	付家堰乡	4
420529202000	牛庄乡	4
420529203000	采花乡	4
420581000000	宜都市	3
420581001000	陆城街道	4
420581100000	红花套镇	4
420581101000	高坝洲镇	4
420581102000	聂家河镇	4
420581103000	松木坪镇	4
420581104000	枝城镇	4
420581105000	姚家店镇	4
420581106000	五眼泉镇	4
420581107000	王家畈镇	4
420581200000	潘家湾土家族乡	4
420581400000	松宜矿区管理委员会	4
420582000000	当阳市	3
420582001000	当阳市玉阳街道	4
420582002000	当阳市坝陵街道	4
420582003000	当阳市玉泉街道	4
420582101000	当阳市两河镇	4
420582102000	当阳市河溶镇	4
420582103000	当阳市淯溪镇	4
420582104000	当阳市庙前镇	4
420582105000	当阳市王店镇	4
420582106000	当阳市半月镇	4
420582107000	当阳市草埠湖镇	4
420583000000	枝江市	3
420583001000	马家店街道	4
420583101000	安福寺镇	4
420583102000	白洋镇	4
420583103000	顾家店镇	4
420583104000	董市镇	4
420583105000	仙女镇	4
420583106000	问安镇	4
420583107000	七星台镇	4
420583108000	百里洲镇	4
420600000000	襄阳市	2
420601000000	市辖区	3
420602000000	襄城区	3
420602001000	真武山街道	4
420602002000	古城街道	4
420602003000	庞公街道	4
420602004000	檀溪街道	4
420602005000	隆中街道	4
420602006000	余家湖街道	4
420602100000	欧庙镇	4
420602101000	卧龙镇	4
420602200000	尹集乡	4
420606000000	樊城区	3
420606001000	汉江街道	4
420606002000	王寨街道	4
420606003000	中原街道	4
420606004000	定中门街道	4
420606005000	清河口街道	4
420606006000	屏襄门街道	4
420606007000	米公街道	4
420606008000	柿铺街道	4
420606070000	高新区紫贞街道	4
420606071000	高新区七里河街道	4
420606072000	高新区东风街道	4
420606100000	牛首镇	4
420606101000	太平店镇	4
420606170000	高新区团山镇	4
420606171000	高新区米庄镇	4
420606400000	经济开发区	4
420606480000	鱼梁洲开发区	4
420606570000	高新区汽车工业园	4
420606571000	高新区高新技术产业园	4
420606572000	高新区高新技术创业服务中心	4
420607000000	襄州区	3
420607001000	张湾街道	4
420607002000	刘集街道	4
420607003000	肖湾街道	4
420607004000	六两河街道	4
420607100000	龙王镇	4
420607101000	石桥镇	4
420607102000	黄集镇	4
420607103000	伙牌镇	4
420607104000	古驿镇	4
420607105000	朱集镇	4
420607106000	程河镇	4
420607107000	双沟镇	4
420607108000	张家集镇	4
420607109000	黄龙镇	4
420607110000	峪山镇	4
420607111000	东津镇	4
420607402000	鹿门风景名胜区	4
420607500000	襄北农场	4
420607570000	深圳工业园	4
420624000000	南漳县	3
420624100000	城关镇	4
420624101000	武安镇	4
420624102000	九集镇	4
420624103000	李庙镇	4
420624104000	长坪镇	4
420624105000	薛坪镇	4
420624106000	板桥镇	4
420624107000	巡检镇	4
420624108000	东巩镇	4
420624109000	肖堰镇	4
420624500000	清河管理区	4
420625000000	谷城县	3
420625100000	城关镇	4
420625101000	石花镇	4
420625102000	盛康镇	4
420625103000	庙滩镇	4
420625104000	五山镇	4
420625105000	茨河镇	4
420625106000	南河镇	4
420625107000	紫金镇	4
420625108000	冷集镇	4
420625200000	赵湾乡	4
420625500000	薤山林场	4
420626000000	保康县	3
420626100000	城关镇	4
420626101000	黄堡镇	4
420626102000	后坪镇	4
420626103000	龙坪镇	4
420626104000	店垭镇	4
420626105000	马良镇	4
420626106000	歇马镇	4
420626107000	马桥镇	4
420626108000	寺坪镇	4
420626109000	过渡湾镇	4
420626200000	两峪乡	4
420626400000	湖北保康经济开发区管理委员会	4
420682000000	老河口市	3
420682001000	光化街道	4
420682002000	酂阳街道	4
420682100000	孟楼镇	4
420682101000	竹林桥镇	4
420682102000	薛集镇	4
420682103000	张集镇	4
420682104000	仙人渡镇	4
420682105000	洪山嘴镇	4
420682106000	李楼镇	4
420682200000	袁冲乡	4
420682501000	蔬菜原种场	4
420682502000	百花山林场	4
420682503000	林茂山林场	4
420683000000	枣阳市	3
420683001000	北城街道	4
420683002000	南城街道	4
420683003000	环城街道	4
420683100000	琚湾镇	4
420683101000	七方镇	4
420683102000	杨当镇	4
420683103000	太平镇	4
420683104000	新市镇	4
420683105000	鹿头镇	4
420683106000	刘升镇	4
420683107000	兴隆镇	4
420683108000	王城镇	4
420683109000	吴店镇	4
420683110000	熊集镇	4
420683111000	平林镇	4
420683402000	枣阳经济开发区	4
420683500000	随阳农场	4
420683501000	车河农场	4
420684000000	宜城市	3
420684001000	鄢城街道	4
420684002000	南营街道	4
420684102000	郑集镇	4
420684103000	小河镇	4
420684104000	刘猴镇	4
420684105000	孔湾镇	4
420684106000	流水镇	4
420684107000	板桥镇	4
420684108000	王集镇	4
420684109000	雷河镇	4
420684400000	襄南监狱	4
420684401000	劳教所	4
420684450000	大雁工业园区	4
420684452000	宜城经济开发区	4
420700000000	鄂州市	2
420701000000	市辖区	3
420702000000	梁子湖区	3
420702100000	太和镇	4
420702101000	东沟镇	4
420702102000	梁子镇	4
420702103000	涂家垴镇	4
420702104000	沼山镇	4
420702400000	梧桐湖新区	4
420703000000	华容区	3
420703100000	华容镇	4
420703101000	葛店镇	4
420703102000	庙岭镇	4
420703103000	段店镇	4
420703200000	临江乡	4
420703201000	蒲团乡	4
420703400000	葛店开发区	4
420704000000	鄂城区	3
420704001000	凤凰街道	4
420704002000	古楼街道	4
420704003000	西山街道	4
420704100000	泽林镇	4
420704101000	杜山镇	4
420704102000	新庙镇	4
420704103000	碧石镇	4
420704104000	汀祖镇	4
420704105000	燕矶镇	4
420704106000	杨叶镇	4
420704107000	花湖镇	4
420704108000	长港镇	4
420704200000	沙窝乡	4
420704400000	鄂州经济开发区	4
420800000000	荆门市	2
420801000000	市辖区	3
420802000000	东宝区	3
420802001000	龙泉街道	4
420802002000	泉口街道	4
420802100000	栗溪镇	4
420802101000	子陵镇	4
420802102000	漳河镇	4
420802103000	马河镇	4
420802104000	石桥驿镇	4
420802105000	牌楼镇	4
420802200000	仙居乡	4
420802400000	东宝工业园区	4
420804000000	掇刀区	3
420804001000	掇刀石街道	4
420804002000	白庙街道	4
420804003000	兴隆街道	4
420804004000	双喜街道	4
420804100000	团林铺镇	4
420804101000	麻城镇	4
420822000000	沙洋县	3
420822100000	沙洋镇	4
420822101000	五里铺镇	4
420822102000	十里铺镇	4
420822103000	纪山镇	4
420822104000	拾回桥镇	4
420822105000	后港镇	4
420822106000	毛李镇	4
420822107000	官当镇	4
420822108000	李市镇	4
420822109000	马良镇	4
420822110000	高阳镇	4
420822111000	沈集镇	4
420822112000	曾集镇	4
420822450000	沙洋监狱管理局	4
420881000000	钟祥市	3
420881001000	郢中街道	4
420881100000	洋梓镇	4
420881101000	长寿镇	4
420881102000	丰乐镇	4
420881103000	胡集镇	4
420881104000	双河镇	4
420881105000	磷矿镇	4
420881106000	文集镇	4
420881107000	冷水镇	4
420881108000	石牌镇	4
420881109000	旧口镇	4
420881110000	柴湖镇	4
420881111000	长滩镇	4
420881112000	东桥镇	4
420881113000	客店镇	4
420881114000	张集镇	4
420881200000	九里乡	4
420881400000	湖北钟祥经济开发区	4
420881450000	钟祥市官庄湖管理区	4
420881451000	南湖原种场	4
420881452000	罗汉寺种畜场	4
420881453000	双桥原种场	4
420881454000	东岳种畜场	4
420881455000	康桥湖农场	4
420881456000	大口林场	4
420881457000	盘石岭林场	4
420881458000	温峡水库	4
420881459000	石门水库	4
420881460000	黄坡水库	4
420881461000	湖北钟祥胡集经济技术开发区	4
420882000000	京山市	3
420882001000	新市街道	4
420882002000	永兴街道	4
420882003000	温泉街道	4
420882102000	曹武镇	4
420882103000	罗店镇	4
420882104000	宋河镇	4
420882105000	坪坝镇	4
420882106000	三阳镇	4
420882107000	绿林镇	4
420882108000	杨集镇	4
420882109000	孙桥镇	4
420882110000	石龙镇	4
420882111000	永漋镇	4
420882112000	雁门口镇	4
420882113000	钱场镇	4
420882450000	太子山	4
420882451000	罗汉寺办事处	4
420882452000	长滩办事处	4
420882453000	何集办事处	4
420882455000	易家岭办事处	4
420900000000	孝感市	2
420901000000	市辖区	3
420902000000	孝南区	3
420902001000	孝南区书院街道	4
420902002000	孝南区新华街道	4
420902003000	孝南区广场街道	4
420902004000	孝南区车站街道	4
420902100000	孝南区新铺镇	4
420902101000	孝南区西河镇	4
420902102000	孝南区杨店镇	4
420902103000	孝南区陡岗镇	4
420902104000	孝南区肖港镇	4
420902105000	孝南区毛陈镇	4
420902106000	孝南区三汊镇	4
420902107000	孝南区祝站镇	4
420902200000	孝南区朋兴乡	4
420902201000	孝南区卧龙乡	4
420902202000	孝南区闵集乡	4
420902400000	孝南区经济开发区	4
420902450000	孝南区朱湖办事处	4
420902500000	孝南区东山头办事处	4
420902570000	孝感开发区丹阳办事处	4
420902571000	孝感开发区孝天办事处	4
420902572000	孝感开发区槐荫办事处	4
420921000000	孝昌县	3
420921100000	花园镇	4
420921101000	丰山镇	4
420921102000	周巷镇	4
420921103000	小河镇	4
420921104000	王店镇	4
420921105000	卫店镇	4
420921106000	白沙镇	4
420921107000	邹岗镇	4
420921200000	小悟乡	4
420921201000	季店乡	4
420921202000	花西乡	4
420921203000	陡山乡	4
420921400000	开发区	4
420921450000	观音湖生态文化旅游渡假区	4
420921500000	双峰山旅游渡假区	4
420922000000	大悟县	3
420922100000	城关镇	4
420922101000	阳平镇	4
420922102000	芳畈镇	4
420922103000	新城镇	4
420922104000	夏店镇	4
420922105000	刘集镇	4
420922106000	河口镇	4
420922107000	四姑镇	4
420922108000	吕王镇	4
420922109000	黄站镇	4
420922110000	宣化店镇	4
420922111000	丰店镇	4
420922112000	大新镇	4
420922113000	三里镇	4
420922200000	高店乡	4
420922201000	彭店乡	4
420922202000	东新乡	4
420923000000	云梦县	3
420923100000	城关镇	4
420923101000	义堂镇	4
420923102000	曾店镇	4
420923103000	吴铺镇	4
420923104000	伍洛镇	4
420923105000	下辛店镇	4
420923106000	道桥镇	4
420923107000	隔蒲潭镇	4
420923108000	胡金店镇	4
420923200000	倒店乡	4
420923201000	沙河乡	4
420923202000	清明河乡	4
420923450000	县经济开发区	4
420981000000	应城市	3
420981001000	城中街道	4
420981002000	城北街道	4
420981003000	四里棚街道	4
420981004000	东马坊街道	4
420981005000	长江埠街道	4
420981100000	田店镇	4
420981101000	杨河镇	4
420981102000	三合镇	4
420981103000	郎君镇	4
420981104000	黄滩镇	4
420981105000	天鹅镇	4
420981106000	义和镇	4
420981107000	陈河镇	4
420981108000	杨岭镇	4
420981109000	汤池镇	4
420981400000	经济技术开发区	4
420981500000	南垸良种场	4
420982000000	安陆市	3
420982001000	府城街道	4
420982002000	南城街道	4
420982100000	赵棚镇	4
420982101000	李店镇	4
420982102000	巡店镇	4
420982103000	棠棣镇	4
420982104000	雷公镇	4
420982105000	王义贞镇	4
420982106000	烟店镇	4
420982107000	孛畈镇	4
420982108000	伏水镇	4
420982200000	陈店乡	4
420982201000	辛榨乡	4
420982202000	木梓乡	4
420982203000	接官乡	4
420982400000	开发区	4
420984000000	汉川市	3
420984001000	仙女山街道	4
420984002000	汈东街道	4
420984100000	马口镇	4
420984101000	脉旺镇	4
420984102000	城隍镇	4
420984103000	分水镇	4
420984104000	沉湖镇	4
420984105000	田二河镇	4
420984106000	回龙镇	4
420984107000	新堰镇	4
420984108000	垌塚镇	4
420984109000	麻河镇	4
420984110000	刘家隔镇	4
420984111000	新河镇	4
420984112000	庙头镇	4
420984113000	杨林沟镇	4
420984200000	西江乡	4
420984201000	湾潭乡	4
420984202000	南河乡	4
420984203000	马鞍乡	4
420984204000	里潭乡	4
420984205000	韩集乡	4
420984450000	国营中洲农场	4
420984500000	华严农场	4
420984502000	三星垸原种场	4
420984503000	汈汊湖养殖场	4
420984504000	汉川市经济技术开发区	4
421000000000	荆州市	2
421001000000	市辖区	3
421002000000	沙市区	3
421002001000	中山街道	4
421002002000	崇文街道	4
421002003000	解放街道	4
421002004000	胜利街道	4
421002005000	朝阳街道	4
421002006000	立新街道	4
421002100000	锣场镇	4
421002101000	岑河镇	4
421002102000	观音垱镇	4
421002103000	关沮镇	4
421003000000	荆州区	3
421003001000	西城街道	4
421003002000	东城街道	4
421003003000	城南街道	4
421003004000	凤凰街道	4
421003100000	纪南镇	4
421003101000	川店镇	4
421003102000	马山镇	4
421003103000	八岭山镇	4
421003104000	李埠镇	4
421003105000	弥市镇	4
421003106000	郢城镇	4
421003450000	太湖港管理区	4
421003451000	菱角湖管理区	4
421022000000	公安县	3
421022100000	埠河镇	4
421022101000	斗湖堤镇	4
421022102000	夹竹园镇	4
421022103000	闸口镇	4
421022104000	杨家厂镇	4
421022105000	麻豪口镇	4
421022106000	藕池镇	4
421022107000	黄山头镇	4
421022108000	孟家溪镇	4
421022109000	南平镇	4
421022110000	章庄铺镇	4
421022111000	狮子口镇	4
421022112000	斑竹垱镇	4
421022113000	毛家港镇	4
421022200000	甘家厂乡	4
421022201000	章田寺乡	4
421023000000	监利县	3
421023100000	容城镇	4
421023101000	朱河镇	4
421023102000	新沟镇	4
421023103000	龚场镇	4
421023104000	周老嘴镇	4
421023105000	黄歇口镇	4
421023106000	汪桥镇	4
421023107000	程集镇	4
421023108000	分盐镇	4
421023109000	毛市镇	4
421023110000	福田寺镇	4
421023111000	上车湾镇	4
421023112000	汴河镇	4
421023113000	尺八镇	4
421023114000	白螺镇	4
421023115000	网市镇	4
421023116000	三洲镇	4
421023117000	桥市镇	4
421023200000	红城乡	4
421023201000	棋盘乡	4
421023202000	柘木乡	4
421023450000	人民大垸农场管理区	4
421023451000	荒湖农场管理区	4
421024000000	江陵县	3
421024100000	资市镇	4
421024102000	熊河镇	4
421024103000	白马寺镇	4
421024104000	沙岗镇	4
421024105000	普济镇	4
421024106000	郝穴镇	4
421024200000	马家寨乡	4
421024201000	秦市乡	4
421024450000	江北监狱	4
421024500000	三湖管理区	4
