630000  青海省	1
632322201000	措周乡	4
632322202000	昂拉乡	4
632322203000	能科乡	4
632322204000	当顺乡	4
632322205000	尖扎滩乡	4
632323000000	泽库县	3
632323100000	泽曲镇	4
632323101000	麦秀镇	4
632323102000	和日镇	4
632323200000	宁秀乡	4
632323202000	王加乡	4
632323203000	西卜沙乡	4
632323204000	多禾茂乡	4
632324000000	河南蒙古族自治县	3
632324100000	优干宁镇	4
632324101000	宁木特镇	4
632324201000	多松乡	4
632324202000	赛尔龙乡	4
632324203000	柯生乡	4
632324204000	托叶玛乡	4
632500000000	海南藏族自治州	2
632521000000	共和县	3
632521100000	恰卜恰镇	4
632521101000	倒淌河镇	4
632521102000	龙羊峡镇	4
632521103000	塘格木镇	4
632521104000	黑马河镇	4
632521105000	石乃亥镇	4
632521106000	江西沟镇	4
632521202000	沙珠玉乡	4
632521203000	铁盖乡	4
632521204000	廿地乡	4
632521205000	切吉乡	4
632521402000	巴卡台农场	4
632521403000	安置农场	4
632521404000	铁卜加草改站	4
632522000000	同德县	3
632522100000	尕巴松多镇	4
632522101000	唐谷镇	4
632522200000	巴沟乡	4
632522201000	秀麻乡	4
632522202000	河北乡	4
632522400000	省牧草良种繁殖场	4
632523000000	贵德县	3
632523100000	河阴镇	4
632523101000	河西镇	4
632523102000	拉西瓦镇	4
632523103000	常牧镇	4
632523200000	河东乡	4
632523201000	新街回族乡	4
632523202000	尕让乡	4
632524000000	兴海县	3
632524100000	子科滩镇	4
632524101000	河卡镇	4
632524102000	曲什安镇	4
632524200000	温泉乡	4
632524201000	龙藏乡	4
632524202000	中铁乡	4
632524203000	唐乃亥乡	4
632525000000	贵南县	3
632525100000	茫曲镇	4
632525101000	过马营镇	4
632525102000	森多镇	4
632525200000	沙沟乡	4
632525202000	茫拉乡	4
632525203000	塔秀乡	4
632525400000	贵南草业开发有限责任公司	4
632600000000	果洛藏族自治州	2
632621000000	玛沁县	3
632621100000	大武镇	4
632621101000	拉加镇	4
632621200000	大武乡	4
632621201000	东倾沟乡	4
632621202000	雪山乡	4
632621203000	下大武乡	4
632621204000	优云乡	4
632621205000	当洛乡	4
632622000000	班玛县	3
632622100000	赛来塘镇	4
632622200000	多贡麻乡	4
632622201000	马可河乡	4
632622202000	吉卡乡	4
632622203000	达卡乡	4
632622204000	知钦乡	4
632622205000	江日堂乡	4
632622206000	亚尔堂乡	4
632622207000	灯塔乡	4
632623000000	甘德县	3
632623100000	柯曲镇	4
632623200000	上贡麻乡	4
632623201000	下贡麻乡	4
632623202000	岗龙乡	4
632623203000	青珍乡	4
632623204000	江千乡	4
632623205000	下藏科乡	4
632624000000	达日县	3
632624100000	吉迈镇	4
632624200000	满掌乡	4
632624201000	德昂乡	4
632624202000	窝赛乡	4
632624203000	莫坝乡	4
632624204000	上红科乡	4
632624205000	下红科乡	4
632624206000	建设乡	4
632624207000	桑日麻乡	4
632624208000	特合土乡	4
632625000000	久治县	3
632625100000	智青松多镇	4
632625200000	门堂乡	4
632625201000	哇赛乡	4
632625202000	索呼日麻乡	4
632625203000	白玉乡	4
632625204000	哇尔依乡	4
632626000000	玛多县	3
632626100000	玛查理镇	4
632626101000	花石峡镇	4
632626200000	黄河乡	4
632626201000	扎陵湖乡	4
632700000000	玉树藏族自治州	2
632701000000	玉树市	3
632701001000	结古镇街道	4
632701002000	扎西科街道	4
632701003000	西杭街道	4
632701004000	新寨街道	4
632701101000	隆宝镇	4
632701102000	下拉秀镇	4
632701200000	仲达乡	4
632701201000	巴塘乡	4
632701202000	小苏莽乡	4
632701203000	上拉秀乡	4
632701204000	哈秀乡	4
632701205000	安冲乡	4
632722000000	杂多县	3
632722100000	萨呼腾镇	4
632722200000	昂赛乡	4
632722201000	结多乡	4
632722202000	阿多乡	4
632722203000	苏鲁乡	4
632722204000	查旦乡	4
632722205000	莫云乡	4
632722206000	扎青乡	4
632723000000	称多县	3
632723100000	称文镇	4
632723101000	歇武镇	4
632723102000	扎朵镇	4
632723103000	清水河镇	4
632723104000	珍秦镇	4
632723200000	尕朵乡	4
632723201000	拉布乡	4
632724000000	治多县	3
632724100000	加吉博洛格镇	4
632724200000	索加乡	4
632724201000	扎河乡	4
632724202000	多彩乡	4
632724203000	治渠乡	4
632724204000	立新乡	4
632725000000	囊谦县	3
632725100000	香达镇	4
632725200000	白扎乡	4
632725201000	吉曲乡	4
632725202000	娘拉乡	4
632725203000	毛庄乡	4
632725204000	觉拉乡	4
632725205000	东坝乡	4
632725206000	尕羊乡	4
632725207000	吉尼赛乡	4
632725208000	着晓乡	4
632726000000	曲麻莱县	3
632726100000	约改镇	4
632726200000	巴干乡	4
632726201000	秋智乡	4
632726202000	叶格乡	4
632726203000	麻多乡	4
632726204000	曲麻河乡	4
632800000000	海西蒙古族藏族自治州	2
632801000000	格尔木市	3
632801001000	昆仑路街道	4
632801002000	黄河路街道	4
632801003000	金峰路街道	4
632801004000	河西街道	4
632801005000	西藏路街道	4
632801100000	郭勒木德镇	4
632801101000	唐古拉镇	4
632801200000	大格勒乡	4
632801201000	乌图美仁乡	4
632801400000	察尔汗工行委	4
632801401000	格尔木农垦有限公司	4
632802000000	德令哈市	3
632802001000	河西街道	4
632802002000	河东街道	4
632802003000	火车站街道	4
632802100000	尕海镇	4
632802101000	怀头他拉镇	4
632802102000	柯鲁柯镇	4
632802200000	蓄集乡	4
632803000000	茫崖市	3
632803100000	花土沟镇	4
632803101000	茫崖镇	4
632803102000	冷湖镇	4
632821000000	乌兰县	3
632821100000	希里沟镇	4
632821101000	茶卡镇	4
632821102000	柯柯镇	4
632821103000	铜普镇	4
632821500000	海西州莫河畜牧场	4
632822000000	都兰县	3
632822100000	察汉乌苏镇	4
632822101000	香日德镇	4
632822102000	夏日哈镇	4
632822103000	宗加镇	4
632822200000	热水乡	4
632822201000	香加乡	4
632822202000	沟里乡	4
632822203000	巴隆乡	4
632823000000	天峻县	3
632823100000	新源镇	4
632823101000	木里镇	4
632823102000	江河镇	4
632823200000	快尔玛乡	4
632823201000	舟群乡	4
632823202000	织合玛乡	4
632823203000	苏里乡	4
632823204000	生格乡	4
632823205000	阳康乡	4
632823206000	龙门乡	4
632857000000	大柴旦行政委员会	3
632857100000	柴旦镇	4
632857101000	锡铁山镇	4
